loan_id,customer_id,origination_date,income,debt_to_income_ratio,loan_amount,interest_rate,credit_score,default_flag,default_probability,num_payments,avg_payment_ratio,max_days_late,pct_late_payments,origination_date_year,origination_date_month,origination_date_quarter,loan_age_months,loan_to_income,credit_dti_interaction,high_dti_flag,low_credit_flag,serious_delinquency_flag,underpayment_flag,high_risk_flag,employment_status_Retired,employment_status_Self-employed,employment_status_Unemployed,housing_status_Other,housing_status_Own,housing_status_Rent,product_type_Credit Card,product_type_Mortgage,product_type_Personal Loan,purpose_Debt Consolidation,purpose_Home Improvement,purpose_Major Purchase,purpose_Medical,purpose_Other
LOAN00000011,CUST000011,2024-05-20,0.08211798518287951,0.41948727312060125,0.02512455111526718,0.6863123122356493,0.2534147283996988,1,0.5115091366184652,12,0.7613984125737219,69,0.3423251504188176,2024,5,2,9.666666666666666,0.24332247230263923,0.40917127731764497,0,1,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False
LOAN00000012,CUST000012,2023-03-27,0.24945830681576367,0.9021978533120829,0.057103774609117884,0.6019457566769334,0.6331225286179323,1,0.7835309812394253,21,0.9369543303434955,84,0.2895210042973932,2023,3,1,23.666666666666668,0.2510545996163216,0.5065718584696967,0,0,1,0,1,True,False,False,False,False,True,False,False,True,False,True,False,False,False
LOAN00000013,CUST000013,2024-10-17,0.5221126345912264,0.32990057874707124,0.366195170186592,0.46278906881578324,0.3447374897636757,0,0.5129318494491619,18,0.9269978825881916,9,0.02448218155619592,2024,10,4,4.666666666666667,0.8087889924925451,0.4789556425987663,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LOAN00000014,CUST000014,2022-12-08,0.4130367185617821,0.2640938739966905,0.12981269297787495,0.24708404322521868,0.2531913963850663,1,0.45303161532787034,18,0.898371775022854,45,0.29382890782316134,2022,12,4,27.3,0.3618350566037974,0.4347761377170013,0,1,0,1,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False
LOAN00000015,CUST000015,2023-06-09,0.22997224523028775,0.4546168323827434,0.011829907864388287,0.3588224545227629,0.6897379000621356,1,0.5086167317624357,7,0.7640622221074751,74,0.29631336158807425,2023,6,2,21.2,0.0837533438678566,0.6530694400123602,0,0,1,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False
LOAN00000016,CUST000016,2022-03-28,0.10645843089528076,0.1920612464704041,0.09969073490116756,0.5917649342087806,0.630997905050922,0,0.6820567767994457,19,0.971815429333675,6,0.16414663055932915,2022,3,1,35.8,0.6869023981872889,0.6862495353619363,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False
LOAN00000017,CUST000017,2022-11-14,0.27333237537825733,0.06346011848683063,0.3321876357367902,0.32257283272056003,0.7343747119392271,1,0.7613233849673762,10,0.8863060389866784,50,0.3882033443080001,2022,11,4,28.1,1.2143310007525687,0.7876376482578994,0,0,0,1,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False
LOAN00000018,CUST000018,2024-03-23,0.14042079194575627,0.06317812877713573,0.19536830083324747,0.2852653525173729,0.7571656149101615,0,0.5543896797166068,4,1.009380559181621,5,0.06133758527618412,2024,3,1,11.6,1.1153844054875455,0.8028570264558186,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False
LOAN00000019,CUST000019,2024-07-10,0.2814312312432148,0.3429230025867907,0.33666235919662796,0.1800890165198745,0.4769100891011845,0,0.6323015386384118,6,0.9197325790394439,1,0.016654259612634323,2024,7,3,7.966666666666667,1.2047218761415261,0.5556343582605092,0,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False
LOAN00000020,CUST000020,2023-06-24,0.04089425229251221,0.8879469810038313,0.01251269861122553,0.6102110681900441,0.8929583279557619,0,0.7243272343735833,22,1.0984153670818455,1,0.005040695462857745,2023,6,2,20.7,0.19575529111817117,0.6324481280883554,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOAN00000021,CUST000021,2025-02-21,0.4195709206533488,0.36219595596284987,0.09922585730184136,0.6056463442744923,0.361805348189365,0,0.07108250359300826,18,1.090395082319737,3,0.11091172497262473,2025,2,1,0.43333333333333335,0.27863651640705184,0.4830514010772916,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
LOAN00000022,CUST000022,2023-07-30,0.25000866276725736,0.22057736270925615,0.05835550329161925,0.7445359337077041,0.3256254929181622,1,0.7501795077485709,15,0.9522459798308442,32,0.31407472142576326,2023,7,3,19.5,0.25541370434186583,0.48742339237390697,0,1,0,0,1,False,False,False,True,False,False,True,False,False,True,False,False,False,False
LOAN00000023,CUST000023,2024-02-04,0.9558618464483448,0.5175492518477023,0.16404069666118112,0.028713774282589328,0.7092535357045251,0,0.41300050465710564,17,1.0488602429221938,6,0.139379920050046,2024,2,1,13.2,0.22106782224787302,0.6470700449838834,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False
LOAN00000024,CUST000024,2024-11-06,0.5692307748336354,0.11705936671296681,0.03180489004159379,0.748378903196614,0.6608306658609083,0,0.3810971852292302,12,1.036246928612672,8,0.006466512267401787,2024,11,4,4.0,0.08190881680741423,0.7247723050712885,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False
LOAN00000025,CUST000025,2022-09-12,0.3595730048262696,0.658566351596684,0.031098398927190494,0.7357075322937501,0.39048916924130767,1,0.6752744672582318,4,0.7965851379117637,46,0.30961006245172173,2022,9,3,30.2,0.11652350361887769,0.44144456877028526,0,1,0,1,1,False,False,False,False,False,True,True,False,False,False,False,True,False,False
LOAN00000026,CUST000026,2024-10-19,0.22288569318954043,0.5198265476947519,0.08613770526224838,0.7563634072104128,0.3844302505080387,1,0.7495622407839398,16,0.9071737998552117,85,0.4115742838183558,2024,10,4,4.6,0.39020929933871357,0.46552389967576513,0,1,1,0,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False
LOAN00000027,CUST000027,2024-01-22,0.13623415125733945,0.4531161130380278,0.028943738993325422,0.5200089917138317,0.7044212402364162,1,0.8621213068789232,10,0.8249308846132326,76,0.2134244070301932,2024,1,1,13.633333333333333,0.210777843842544,0.6618807606089564,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
LOAN00000028,CUST000028,2024-10-19,0.4565080833023073,0.5545284124779473,0.11470520004866468,0.5421839591115208,0.6701963039522467,1,0.6085310353721282,4,0.7061946102124614,27,0.4473475359773289,2024,10,4,4.6,0.2976671254299264,0.6155456480918665,0,0,0,1,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False
LOAN00000029,CUST000029,2023-09-20,0.20584712543561653,0.21286685474312686,0.003389736872821875,0.5411680721852533,0.3302150223370231,0,0.17855188347332193,20,1.0811248137655247,1,0.12306871143040651,2023,9,3,17.766666666666666,0.053696091155565014,0.4917190989853963,0,1,0,0,1,True,False,False,False,True,False,True,False,False,False,True,False,False,False
LOAN00000030,CUST000030,2024-06-15,0.5241211120135916,0.29408748129094026,0.3003212254176893,0.2958980761397496,0.4345033702188526,1,0.532922907412174,22,0.9234561029780255,72,0.2650349426322749,2024,6,2,8.8,0.6646846947117656,0.5404195658239764,0,0,1,0,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True
LOAN00000031,CUST000031,2023-12-13,0.3224059344369473,0.2612992499793319,0.0,0.30511920340917564,0.363831314266412,0,0.28227929896862114,20,1.001082435822273,7,0.05067946858551713,2023,12,4,14.966666666666667,0.028490672293578437,0.5035883299851499,0,1,0,0,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False
LOAN00000032,CUST000032,2022-03-27,0.32395538746310815,0.7305443033367127,0.22688121164294933,0.5430424405230255,0.04479104454686018,1,0.6297900645156753,21,0.7961959334935085,39,0.26921658171049295,2022,3,1,35.833333333333336,0.7413543244323858,0.25177224723901914,0,1,0,1,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False
LOAN00000033,CUST000033,2024-06-24,0.3662566958496489,0.4426554357093892,0.04436757627818706,0.4399840733184366,0.9641607854815504,0,0.43492437985992904,12,0.9432663168162129,5,0.1350426893760835,2024,6,2,8.5,0.15286885353457028,0.8141078668104182,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False
LOAN00000034,CUST000034,2022-08-20,0.11402622559759615,0.19922936002898964,0.013369501249033102,0.6494663318068665,0.6670976470505933,0,0.5754840716073045,20,1.0091371951478738,0,0.20446719517122855,2022,8,3,30.966666666666665,0.13673312921189648,0.7072536802608667,0,0,0,0,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False
LOAN00000035,CUST000035,2023-03-29,0.10289381952047265,0.027446678963049476,0.10411934464718475,0.41667177734475475,0.9098494600669821,0,0.5574902203465594,19,1.0307995999458155,2,0.03093534700890252,2023,3,1,23.6,0.726919923956185,0.9157229084814685,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False
LOAN00000036,CUST000036,2023-10-28,0.09926604981410404,0.2972814535437707,0.2224162042512945,0.17529618148297874,0.5235316519783416,0,0.5856040188537386,19,1.0216688496959059,7,0.010276571412408028,2023,10,4,16.5,1.512810174080096,0.5939999757220757,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False
LOAN00000037,CUST000037,2023-01-16,0.48700495595408766,0.4890695482431723,0.2950344284223896,0.18542917771394724,0.3476720445165177,0,0.5294523795367199,2,1.0959253942149252,2,0.06023120245816353,2023,1,1,26.0,0.6940258404715878,0.4508264724046902,0,1,0,0,1,True,False,False,False,True,False,False,False,False,True,False,False,False,False
LOAN00000038,CUST000038,2022-03-20,0.11113801159490375,0.5392854108947568,0.2852483262036777,0.328829410542115,0.3734170640441313,1,0.8712228537770103,10,0.7414071929053418,77,0.3641550875347924,2022,3,1,36.06666666666667,1.819660571139982,0.45561714030454786,0,1,1,1,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True
LOAN00000039,CUST000039,2022-11-03,0.1252705805337042,0.49686075744725905,0.03142602796682952,0.6516411536452433,0.3732055716759388,1,0.4660724092409409,2,0.9906272308785702,58,0.177619859273231,2022,11,4,28.466666666666665,0.23507318859567977,0.4637230271735962,0,1,0,0,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False
LOAN00000040,CUST000040,2024-04-21,0.3529070227467929,0.4385636392618142,0.10813298243803912,0.3813521851210853,0.46729459992985034,0,0.28723353772716065,12,0.9872183271431623,1,0.08968616813770865,2024,4,2,10.633333333333333,0.34510401350145326,0.5292264912643438,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True
LOAN00000041,CUST000041,2023-09-22,0.20231500389055426,0.3938555003033801,0.007096525023737249,0.5588262913403541,0.19576300995638696,1,0.3352246831562157,5,0.8483240152444924,26,0.4586074038999459,2023,9,3,17.7,0.07050872353515218,0.37959865510607727,0,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
LOAN00000042,CUST000042,2024-08-20,0.18306552039076882,0.46166756121368324,0.09430822999086302,0.1311124643120969,0.5021367402851772,1,0.9400612529370207,3,0.7802715838390417,22,0.5924096447742676,2024,8,3,6.6,0.48151982477423483,0.5441207362687136,0,0,0,1,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False
LOAN00000043,CUST000043,2022-06-06,0.17067560026230366,0.32651645026210696,0.12483377821684487,0.5292159503679985,0.45254925887670133,0,0.3258974826858025,4,0.9890102143190482,7,0.06653966580179511,2022,6,2,33.46666666666667,0.651406903185095,0.5445384067098261,0,0,0,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False
LOAN00000044,CUST000044,2024-10-17,0.0015278366148236489,0.6126299461290277,0.056568716075050554,0.5022484187779136,0.8345978726369871,1,0.8801395350994273,4,0.9821013852681926,77,0.30075817923476367,2024,10,4,4.666666666666667,0.8087068633524415,0.6882128434320544,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LOAN00000045,CUST000045,2023-07-28,0.10882349311986894,0.14683785120735723,0.006193055920379118,0.752359726326333,0.7459495949682665,1,0.4932370096066067,5,0.7146237546987301,11,0.3632187445078533,2023,7,3,19.566666666666666,0.09515552290631571,0.7718609348190669,0,0,0,1,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False
LOAN00000046,CUST000046,2024-04-20,0.5283116340702069,0.14041844521894667,0.043681101694326666,0.5275241326138176,0.5032398639665903,0,0.7262884780502529,9,1.0857674144527063,2,0.15781842778248475,2024,4,2,10.666666666666666,0.1125191653676511,0.6168338034730034,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False
LOAN00000047,CUST000047,2022-04-10,0.1606803166191429,0.2031516241922731,0.6339151219225627,0.6596143932966032,0.729772097794984,0,0.12061302151396043,5,1.0119843115511395,4,0.0100935110734354,2022,4,2,35.36666666666667,3.24467255946109,0.7457971864786291,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
LOAN00000048,CUST000048,2022-09-28,0.02765597827262007,0.39135527609176646,0.13210850202496105,0.9163353887419072,0.3151377883195511,0,0.5514646169484484,14,0.9034885838860969,0,0.016016194563499335,2022,9,3,29.666666666666668,1.4067246680100065,0.4500750243744771,0,1,0,0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False
LOAN00000049,CUST000049,2024-12-26,0.10439590879678814,0.19139189758831193,0.049762123024965674,0.5027080343877639,0.27093909406409267,0,0.6208465117937152,18,0.9599142263012205,1,0.11996491161996141,2024,12,4,2.3333333333333335,0.37505639931990475,0.4580717580145232,0,1,0,0,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False
LOAN00000050,CUST000050,2024-12-22,0.31366300432703986,0.569193103591391,0.0723826440817174,0.8269306497946198,0.579326219583704,1,0.8147631787997052,3,0.8655297563027359,21,0.44527459509486916,2024,12,4,2.466666666666667,0.2620817916439427,0.5621198984492166,0,0,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
LOAN00000051,CUST000051,2023-09-23,0.3094973501500763,0.047030641985790524,0.13120753907678742,0.5209520575311867,0.6311396898653866,1,0.7450295684980994,10,0.8139549116847411,42,0.3331055217325588,2023,9,3,17.666666666666668,0.455936420268942,0.723242373292868,0,0,0,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True
LOAN00000052,CUST000052,2024-02-07,0.195814755916039,0.6404390033323116,0.011244030992154704,0.3780953421842147,0.5671895533900652,0,0.28693500551740186,22,1.0010363947984817,2,0.05051146367242648,2024,2,1,13.1,0.09052972212298745,0.538443178311914,0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
LOAN00000053,CUST000053,2023-04-12,0.14123391470735738,0.47628089895039194,0.012325989225290103,0.4704680836708689,0.9619883293379252,0,0.7343827565502513,9,0.9041001254938417,5,0.11020703619117177,2023,4,2,23.133333333333333,0.11617778374081492,0.801687408547184,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False
LOAN00000054,CUST000054,2024-03-05,0.06625942039864048,0.7425320654839568,0.03668735668775708,0.3840840162941387,0.7855493753373228,1,0.7530355052179045,8,0.9206952565945535,45,0.4636570745942752,2024,3,1,12.2,0.35519479129840476,0.6241946747018455,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
LOAN00000055,CUST000055,2022-08-15,0.31542639883929735,0.5498453614193954,0.048217178654927265,0.39191785790148614,0.8772849670335139,0,0.6077152463283857,11,1.0251272319462739,8,0.10231816454504501,2022,8,3,31.133333333333333,0.18352649373878935,0.7306662822815153,0,0,0,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False
LOAN00000056,CUST000056,2022-09-24,0.42771944294103137,0.20867322287917045,0.5650117930549552,0.3695854512335113,0.4581865059272281,0,0.5000516749755816,11,0.9024079921428173,5,0.08260025730012707,2022,9,3,29.8,1.4550259503510599,0.573128767669609,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
LOAN00000057,CUST000057,2024-11-26,0.5634310678021213,0.3034263440420805,0.09341916213897322,0.4282117666476541,0.6919270486451583,1,0.4806154596685419,18,0.9946197365166889,37,0.22615053822771972,2024,11,4,3.3333333333333335,0.20725914316856445,0.6949529700724203,0,0,0,0,1,False,False,False,False,False,True,False,False,True,True,False,False,False,False
LOAN00000058,CUST000058,2022-12-01,0.09373617773571234,0.2800488946668536,0.04789726930530852,0.6483027772932595,0.32881987467901647,0,0.3508588522712134,2,1.0991744316210046,4,0.1990574188250422,2022,12,4,27.533333333333335,0.38227556864605605,0.4785210930956261,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LOAN00000059,CUST000059,2024-05-30,0.5896913603321717,0.5950697364188331,0.09198123897251619,0.1248197478675559,0.41119004032047907,0,0.7809281559964504,12,1.0350369326423097,7,0.039698140541033516,2024,5,2,9.333333333333334,0.1966674147822704,0.46517355722201903,0,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False
LOAN00000060,CUST000060,2023-06-05,0.2342502050109478,0.43258574121639926,0.003568694919712673,0.5563650612036821,0.6915556392651739,1,0.8349311206906076,19,0.8503536734327855,39,0.2143659857408681,2023,6,2,21.333333333333332,0.04995952855907403,0.6600284419827154,0,0,0,1,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False
LOAN00000061,CUST000061,2024-12-17,0.24881861897398627,0.011230010997848355,0.029620493633241433,0.520141318099526,0.36942167570913986,1,0.44272992437621306,4,0.8345147561209495,18,0.44609612827246226,2024,12,4,2.6333333333333333,0.14699218969314326,0.5552876955212035,0,1,0,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False
LOAN00000062,CUST000062,2022-12-27,0.4428770771442797,0.09641908650432285,0.03612847051977169,0.794509715190142,0.395376518506986,1,0.5683206313470326,17,0.9301896314698147,16,0.2885429010066963,2022,12,4,26.666666666666668,0.11132715796139349,0.5558920696959722,0,0,0,0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False
LOAN00000063,CUST000063,2024-02-24,0.16047078041919713,0.37903534399885136,0.025371178955461173,0.4146865814366993,0.7178224644567828,0,0.6669187708949549,14,1.0999031427178334,4,0.19135700215345477,2024,2,1,12.533333333333333,0.17376192370390692,0.6899145621077231,0,0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True
LOAN00000064,CUST000064,2023-02-07,0.01082482404720589,0.6146384620555995,0.31903812413701316,0.7396629945301116,0.4025979755185425,1,0.9465139160607225,4,0.8609830456631151,25,0.27162118112159805,2023,2,1,25.266666666666666,3.729911865304262,0.4566117889277494,0,0,0,1,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False
LOAN00000065,CUST000065,2024-08-01,0.3932000540304693,0.6419065920952545,0.1756840208804066,0.30742342636135783,0.858083529576996,0,0.32737743580754913,19,0.9386332675033505,7,0.03386315669484121,2024,8,3,7.233333333333333,0.5003982719436078,0.6917707100436261,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False
LOAN00000066,CUST000066,2025-02-15,0.3112864247757132,0.4513250679469927,0.019417977347080104,0.3952999822395882,0.5476363659427261,1,0.5992179291773418,21,0.7703479599202595,52,0.24007451874107605,2025,2,1,0.6333333333333333,0.09210540914811169,0.5725144437482834,0,0,0,1,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False
LOAN00000067,CUST000067,2024-05-06,0.1859275482238868,0.5913046288105833,0.017860327352610953,0.5844758893974331,0.5585728613636338,1,0.6182154535703678,1,0.8318852756963986,37,0.3864898248237111,2024,5,2,10.133333333333333,0.1240959391763087,0.5455521157917198,0,0,0,1,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False
LOAN00000068,CUST000068,2022-10-09,0.37295531515096886,0.7921546912340728,0.018060364017732946,0.6259531130190735,0.6704822846444575,1,0.7075951954074238,8,0.9133696193003634,39,0.3640011523153065,2022,10,4,29.3,0.07648244637586518,0.553041220695431,0,0,0,0,1,False,False,False,False,False,True,True,False,False,False,False,False,True,False
LOAN00000069,CUST000069,2024-04-08,0.4247962524101432,0.5868041821373063,0.07016924993521467,0.4364993194309974,0.5686321765134781,1,0.8452117710948337,20,0.920798841106603,27,0.24744284656643104,2024,4,2,11.066666666666666,0.20185496793510202,0.5520650995012517,0,0,0,0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False
LOAN00000070,CUST000070,2022-09-10,0.05690763121930684,0.6099835873357753,0.10758140631855015,0.5424121514107526,0.6780598136159871,1,0.7765513750371481,12,0.801399876475064,31,0.455399124546129,2022,9,3,30.266666666666666,0.9570817895231729,0.605139289545848,0,0,0,1,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False
LOAN00000071,CUST000071,2023-03-21,0.2480935993698648,0.42978768125839245,0.13569821887043013,0.4583796024805165,0.3620659347569004,1,0.5590878368156709,10,0.979200485999152,82,0.28973716835470004,2023,3,1,23.866666666666667,0.5514952720369463,0.4702826038655747,0,1,1,0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False
LOAN00000072,CUST000072,2023-07-12,0.004211284611595514,0.043741272204393535,0.02558292143482883,0.6658024991755366,0.0,1,0.6950391585478648,15,0.705316369901548,84,0.3817339136598309,2023,7,3,20.1,0.4165997780960488,0.3019079113675146,0,1,1,1,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False
LOAN00000073,CUST000073,2025-02-03,0.2229354118044633,0.46303966265566604,0.07083482407959905,0.4622333520116674,0.23133958948741173,1,0.451032004611625,10,0.9283343345448574,38,0.23016017848458714,2025,2,1,1.0333333333333334,0.3274174796945191,0.3893659265498903,0,1,0,0,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False
LOAN00000074,CUST000074,2022-03-21,0.18409640313306522,0.6522860372125155,0.08124181108309617,0.44566272902668774,0.48402118460218024,1,0.9045614061585247,8,0.9997340053545404,26,0.23779029363473636,2022,3,1,36.03333333333333,0.4191566433179907,0.49187197004319083,0,0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
LOAN00000075,CUST000075,2022-05-10,0.3424976999694901,0.07595498937243325,0.30694987248243544,0.7091863207064812,0.733597173326723,1,0.578458726042013,13,0.7421350546845109,27,0.2673082224609513,2022,5,2,34.36666666666667,0.9521680692385044,0.7836409204643592,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LOAN00000076,CUST000076,2023-08-09,0.0975725969981894,0.27795201101190575,0.19801588103146947,0.5396804192518824,1.0,1,0.748137746343365,4,0.7381629019861926,70,0.26811559211846253,2023,8,3,19.166666666666668,1.364430033884733,0.8909094051223156,0,0,1,1,1,False,False,False,False,True,False,False,False,True,True,False,False,False,False
LOAN00000077,CUST000077,2023-12-14,0.1770445267509554,0.047288112980508265,0.013691577887633984,0.6390963406014137,0.44767099915189995,0,0.3243197851473347,8,1.014224777193132,4,0.2186394425925335,2023,12,4,14.933333333333334,0.10811924616907413,0.6006070034201209,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False
LOAN00000078,CUST000078,2025-02-25,0.0,0.38537235047436386,0.005478361473278009,1.0,0.43157837873091065,0,0.6541335269693094,22,0.9220595850908042,5,0.04294992445275411,2025,2,1,0.3,0.18141026032613372,0.5196898491322055,0,0,0,0,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False
LOAN00000079,CUST000079,2023-10-20,0.35754400711109635,0.5330702780875216,0.0763995642058237,0.06319847418486374,0.6931528892891564,0,0.5657597984964366,18,1.0056447078675863,6,0.020125713750428348,2023,10,4,16.766666666666666,0.2491340473456903,0.6339178883442024,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False
